id,label,type
36226206,oxcarbazepine Oral Product,medication
36222605,epinephrine / lidocaine Injectable Product,medication
36214618,nafcillin Injectable Product,medication
36249552,emtricitabine / tenofovir alafenamide Oral Product,medication
36223262,ubidecarenone Oral Product,medication
36223617,vecuronium Injectable Product,medication
36212073,glycerin Rectal Product,medication
36225213,sirolimus Oral Liquid Product,medication
36217709,amlodipine / hydrochlorothiazide / olmesartan Pill,medication
36218087,cyproheptadine Pill,medication
36212531,cromolyn Inhalant Product,medication
36217228,diclofenac / misoprostol Pill,medication
40220705,methylnaltrexone Oral Product,medication
36245324,sodium fluoride Mouthwash Product,medication
36224797,fluorouracil Injectable Product,medication
36224181,dronedarone Oral Product,medication
36212812,aluminum hydroxide / magnesium carbonate Oral Liquid Product,medication
36216657,clomiphene Pill,medication
36218071,chondroitin sulfates / glucosamine Oral Product,medication
36218173,benztropine Oral Product,medication
36215201,aprepitant Pill,medication
36244061,sulfacetamide Soap Product,medication
36218009,calcium carbonate / folic acid / vitamin B complex Pill,medication
36216527,caspofungin Injectable Product,medication
36213901,rasagiline Pill,medication
36221631,sumatriptan Pill,medication
36223145,metformin Pill,medication
36216738,dimenhydrinate Oral Product,medication
36215854,citric acid / sodium citrate Oral Product,medication
36245639,mirtazapine Disintegrating Oral Product,medication
36225209,simvastatin Oral Product,medication
36224918,nicotine Oral Product,medication
36243713,ammonia Inhalant Product,medication
36214854,roflumilast Pill,medication
36220871,mesalamine Oral Product,medication
36223440,pramlintide Injectable Product,medication
36220791,voriconazole Oral Product,medication
36223970,water Irrigation Product,medication
36212074,glycerin Topical Product,medication
36226930,leflunomide Pill,medication
36214069,zileuton Oral Product,medication
36225772,entecavir Oral Product,medication
36227613,rizatriptan Oral Product,medication
1146176,daratumumab / hyaluronidase Injectable Product,medication
36247404,vedolizumab Injectable Product,medication
36215753,montelukast Pill,medication
36221144,miconazole Vaginal Product,medication
36223198,argatroban Injectable Product,medication
36249029,isavuconazonium Oral Product,medication
36220773,leucovorin Pill,medication
36212569,magnesium chloride / potassium chloride / sodium acetate / sodium chloride / sodium gluconate Irrigation Product,medication
36226234,oxybutynin Topical Product,medication
36213895,ramelteon Pill,medication
36212305,chlorthalidone Oral Product,medication
36245479,ketoconazole Shampoo Product,medication
793861,glecaprevir / pibrentasvir Pill,medication
36211844,ethacrynate Pill,medication
36227046,pindolol Pill,medication
36226088,lacosamide Pill,medication
36249441,venetoclax Pill,medication
36218765,glipizide / metformin Oral Product,medication
36224796,fluorometholone Ophthalmic Product,medication
40220706,methylnaltrexone Pill,medication
36214027,alprostadil Urethral Product,medication
36217526,diphenhydramine / ibuprofen Pill,medication
36214750,calcium chloride / lactate / potassium chloride / sodium chloride Irrigation Product,medication
36227606,rivaroxaban Oral Product,medication
36220187,magnesium amino acid chelate Pill,medication
36244373,bismuth subsalicylate Chewable Product,medication
36226372,prochlorperazine Rectal Product,medication
36216807,acitretin Oral Product,medication
36243871,olanzapine Disintegrating Oral Product,medication
36243693,linaclotide Oral Product,medication
36223622,verapamil Oral Product,medication
36214937,deferasirox Oral Liquid Product,medication
36223282,belimumab Injectable Product,medication
36224579,enalapril Pill,medication
36219894,linezolid Injectable Product,medication
1510230,Bifidobacterium animalis / Lactobacillus acidophilus Pill,medication
36220883,potassium phosphate Oral Product,medication
36219696,ribavirin Inhalant Product,medication
36215656,gefitinib Pill,medication
36212957,azilsartan Oral Product,medication
36246665,regorafenib Pill,medication
36220119,liraglutide Injectable Product,medication
36225518,azelastine Inhalant Product,medication
36224094,salmon calcitonin Inhalant Product,medication
36212407,chlorothiazide Pill,medication
36243768,carbamazepine Chewable Product,medication
36247950,ibrutinib Oral Product,medication
36221627,sumatriptan Inhalant Product,medication
1511296,romosozumab Injectable Product,medication
36215524,albuterol Oral Liquid Product,medication
37003434,"SARS-CoV-2 (COVID-19) vaccine, mRNA spike protein Injectable Product",medication
36216907,acebutolol Oral Product,medication
36221099,lidocaine Topical Product,medication
1594402,gentamicin Topical Product,medication
36223140,metformin / saxagliptin Pill,medication
36215463,magnesium hydroxide Oral Liquid Product,medication
36218136,cephalexin Pill,medication
36215506,Neisseria meningitidis serogroup A oligosaccharide diphtheria CRM197 protein conjugate vaccine / Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine / Neisseria meningitidis serogroup W-135 oligosaccharide dip...,medication
36224525,doxycycline Pill,medication
36223009,magnesium sulfate Injectable Product,medication
36223238,dexmethylphenidate Pill,medication
36227433,terbinafine Oral Product,medication
36217020,acetic acid Irrigation Product,medication
36218379,valganciclovir Oral Product,medication
36225036,norfloxacin Oral Product,medication
36214358,magnesium gluconate Pill,medication
36221391,mineral oil Oral Liquid Product,medication
36224512,doxazosin Pill,medication
36222944,ulipristal Oral Product,medication
1594058,lactulose Oral Powder Product,medication
36213329,phentermine Oral Product,medication
36214215,albendazole Oral Product,medication
1355707,larotrectinib Oral Product,medication
36221084,metoprolol Oral Product,medication
36222660,magnesium citrate Oral Product,medication
36214549,camphor / menthol / methyl salicylate Topical Product,medication
36215259,dexamethasone Ophthalmic Product,medication
36215615,baclofen Injectable Product,medication
36248787,empagliflozin / linagliptin Oral Product,medication
36219571,ciclesonide Inhalant Product,medication
36245017,amoxicillin Chewable Product,medication
36221148,midazolam Oral Liquid Product,medication
36219058,zaleplon Pill,medication
36218698,metronidazole Topical Product,medication
36216254,amiloride Oral Product,medication
36217233,diclofenac Ophthalmic Product,medication
739904,"SARS-COV-2 (COVID-19) vaccine, vector non-replicating Injectable Product",medication
36218442,lidocaine / prilocaine Topical Product,medication
36225356,ketoconazole Topical Product,medication
36224300,hydrochlorothiazide / metoprolol Pill,medication
36213828,cyclosporine Oral Liquid Product,medication
36225806,isoniazid Oral Product,medication
36216122,acetaminophen / hydrocodone Pill,medication
36249525,ciclesonide Nasal Product,medication
36247499,sucroferric oxyhydroxide Chewable Product,medication
36218397,hydrocortisone Rectal Product,medication
36226274,cefpodoxime Oral Product,medication
36224313,hydrochlorothiazide / spironolactone Oral Product,medication
35201768,"secretin human, synthetic Injectable Product",medication
36213690,coal tar Topical Product,medication
36245136,benzocaine Oral Paste Product,medication
36216999,acetaminophen Pill,medication
36225014,nitroglycerin Pill,medication
36220192,magnesium carbonate Oral Liquid Product,medication
36245487,potassium chloride Oral Powder Product,medication
740004,Lactobacillus acidophilus / Lactobacillus delbrueckii subsp. bulgaricus Pill,medication
36223619,vemurafenib Pill,medication
36212004,beclomethasone Inhalant Product,medication
1361363,glucagon Nasal Product,medication
36226875,peginterferon alfa-2a Injectable Product,medication
36216479,chlorhexidine Oral Liquid Product,medication
36217855,bupivacaine Injectable Product,medication
36213626,etidronate Oral Product,medication
36216798,acetylcysteine Pill,medication
36223877,olmesartan Pill,medication
36219518,bortezomib Injectable Product,medication
36225552,capecitabine Oral Product,medication
36220490,escitalopram Oral Liquid Product,medication
36214049,glycerin / propylene glycol Ophthalmic Product,medication
36220915,estradiol Topical Product,medication
36225606,urea Topical Product,medication
36227316,sodium chloride Ophthalmic Product,medication
36226155,fenofibrate Oral Product,medication
36214409,tranexamic acid Injectable Product,medication
36247443,pembrolizumab Injectable Product,medication
36248596,ivacaftor / lumacaftor Oral Product,medication
36219707,riboflavin Pill,medication
36227610,rivastigmine Pill,medication
36224785,fluocinonide Topical Product,medication
36218637,methylene blue Injectable Product,medication
36225180,lactulose Oral Product,medication
36212965,aztreonam Inhalant Product,medication
36238071,theanine Pill,medication
36212456,dextromethorphan / guaifenesin / pseudoephedrine Oral Liquid Product,medication
36226874,pegfilgrastim Injectable Product,medication
36219953,ferumoxytol Injectable Product,medication
36227391,octreotide Injectable Product,medication
36221673,acamprosate Pill,medication
36246594,alendronate Oral Product,medication
36224728,isosorbide Pill,medication
36245287,benzocaine / menthol Lozenge Product,medication
36248340,naloxone Inhalant Product,medication
1594522,fosfomycin Oral Powder Product,medication
36226801,haloperidol Oral Liquid Product,medication
36225726,pramipexole Oral Product,medication
36221941,adapalene Topical Product,medication
1510690,sodium zirconium cyclosilicate Oral Product,medication
36217127,cefadroxil Pill,medication
36219089,ibandronate Oral Product,medication
36223441,pravastatin Oral Product,medication
36219895,linezolid Oral Liquid Product,medication
36225615,ursodeoxycholate Oral Product,medication
36212591,naltrexone Injectable Product,medication
36227163,flurandrenolide Medicated Pad or Tape,medication
36213587,ethinyl estradiol / levonorgestrel Pill,medication
36225048,nortriptyline Pill,medication
36220819,hydromorphone Oral Product,medication
36245963,sodium fluoride Toothpaste Product,medication
36212962,azithromycin Oral Product,medication
36215199,apraclonidine Ophthalmic Product,medication
36225998,vitamin B12 Oral Product,medication
36225215,sirolimus Pill,medication
36213203,calcium ascorbate Oral Product,medication
36223204,armodafinil Pill,medication
36248613,edoxaban Pill,medication
36223074,niacin Pill,medication
1355929,citric acid / magnesium oxide / picosulfurate Oral Liquid Product,medication
36219987,thiamine Pill,medication
36215200,aprepitant Oral Product,medication
36247951,ibrutinib Pill,medication
36225696,potassium Pill,medication
36245785,zolmitriptan Disintegrating Oral Product,medication
36213363,salicylic acid Topical Product,medication
36227319,sodium chloride Pill,medication
36225457,tizanidine Pill,medication
36220545,venlafaxine Pill,medication
36221043,methylphenidate Oral Product,medication
36218326,hydrocodone / ibuprofen Pill,medication
36221764,theophylline Oral Product,medication
36223456,prednisone Pill,medication
36224540,dutasteride / tamsulosin Oral Product,medication
36223197,arformoterol Inhalant Product,medication
36214674,rifaximin Oral Product,medication
36213067,dexlansoprazole Pill,medication
36214492,atovaquone / proguanil Oral Product,medication
36217860,buprenorphine Injectable Product,medication
1355930,citric acid / magnesium oxide / picosulfurate Oral Product,medication
36245319,clotrimazole Lozenge Product,medication
36225368,ketorolac Pill,medication
36243767,testosterone Transdermal Product,medication
