id,label,type
36223354,sertraline Pill,medication
36226879,pemirolast Ophthalmic Product,medication
36217860,buprenorphine Injectable Product,medication
36223173,triamcinolone Topical Product,medication
36219003,pyrimethamine Pill,medication
36225503,trimethoprim Oral Product,medication
36227166,flurazepam Pill,medication
36215241,desmopressin Pill,medication
36221029,levofloxacin Pill,medication
36213830,cyclosporine Pill,medication
36214530,bromocriptine Oral Product,medication
36215727,modafinil Oral Product,medication
36213822,cyclophosphamide Oral Product,medication
36226996,melatonin / vitamin B6 Pill,medication
36221093,lidocaine Mucosal Product,medication
36214494,atovaquone Oral Liquid Product,medication
36218148,cetirizine / pseudoephedrine Oral Product,medication
36217011,acetic acid / hydrocortisone Otic Product,medication
36223132,metformin / pioglitazone Pill,medication
36222712,posaconazole Oral Product,medication
36214111,idarubicin Injectable Product,medication
36226297,cetuximab Injectable Product,medication
36212056,ethanol Injectable Product,medication
36212531,cromolyn Inhalant Product,medication
36217303,citalopram Oral Liquid Product,medication
36219272,abacavir Pill,medication
36227564,etodolac Oral Product,medication
36220610,meloxicam Pill,medication
36225014,nitroglycerin Pill,medication
36222287,famciclovir Pill,medication
36227156,fluphenazine Injectable Product,medication
36213901,rasagiline Pill,medication
36221351,pseudoephedrine Oral Product,medication
36224313,hydrochlorothiazide / spironolactone Oral Product,medication
36212407,chlorothiazide Pill,medication
36227608,rivastigmine Oral Liquid Product,medication
36226536,drospirenone / ethinyl estradiol Pill,medication
36214556,camphor / menthol Topical Product,medication
36216773,clobetasol Topical Product,medication
36226752,medroxyprogesterone Pill,medication
36247062,tedizolid Pill,medication
36217928,benzocaine / menthol Oral Product,medication
36218463,potassium nitrate / sodium fluoride Paste Product,medication
36247988,vitamin K2 Oral Product,medication
36226661,phenol Mucosal Product,medication
36227393,ofloxacin Ophthalmic Product,medication
36248131,alirocumab Injectable Product,medication
36222372,fexofenadine / pseudoephedrine Pill,medication
36244837,melatonin Disintegrating Oral Product,medication
36224173,donepezil Pill,medication
36221172,"estrogens, conjugated (USP) / medroxyprogesterone Pill",medication
36217279,ceftazidime Injectable Product,medication
36225773,entecavir Pill,medication
793318,ertugliflozin Oral Product,medication
36219713,rifampin Injectable Product,medication
36223878,olopatadine Inhalant Product,medication
36211851,ethambutol Oral Product,medication
36226093,lamotrigine Oral Product,medication
36248731,palbociclib Oral Product,medication
36248746,olodaterol / tiotropium Inhalant Product,medication
36220193,magnesium carbonate Oral Product,medication
36245495,meclizine Chewable Product,medication
36220531,valsartan Pill,medication
36244990,estradiol / levonorgestrel Transdermal Product,medication
36223934,cefdinir Pill,medication
36214674,rifaximin Oral Product,medication
36224176,doripenem Injectable Product,medication
36212110,granisetron Pill,medication
36248811,levothyroxine Injectable Product,medication
