id,label,type
36216710,dihydroergotamine Inhalant Product,medication
36225306,polymyxin B Injectable Product,medication
36225606,urea Topical Product,medication
1594150,abaloparatide Injectable Product,medication
36220868,mercaptopurine Pill,medication
36215851,citric acid / potassium citrate Oral Liquid Product,medication
36226800,haloperidol Injectable Product,medication
36220545,venlafaxine Pill,medication
36227072,"Japanese encephalitis virus vaccine, inactivated Injectable Product",medication
36227488,hydralazine / isosorbide dinitrate Pill,medication
36225799,eptifibatide Injectable Product,medication
36219269,abacavir / lamivudine Pill,medication
36248374,empagliflozin / metformin Oral Product,medication
36213627,etidronate Pill,medication
36215487,naproxen Oral Liquid Product,medication
36218134,cephalexin Oral Liquid Product,medication
36247190,apremilast Pill,medication
36222942,ubiquinol Oral Product,medication
36219226,sulindac Oral Product,medication
36226430,sildenafil Pill,medication
36216363,clindamycin Topical Product,medication
36215525,albuterol Oral Product,medication
36214735,biotin Pill,medication
36249099,obeticholic acid Pill,medication
36219037,tacrolimus Pill,medication
36216550,cilastatin / imipenem Injectable Product,medication
37498148,copper Drug Implant Product,medication
36223440,pramlintide Injectable Product,medication
36224404,sitagliptin Pill,medication
36222882,ganciclovir Injectable Product,medication
36217240,dicloxacillin Oral Product,medication
793861,glecaprevir / pibrentasvir Pill,medication
36223623,verapamil Pill,medication
36245577,avanafil Oral Product,medication
36213852,moxifloxacin Injectable Product,medication
36217303,citalopram Oral Liquid Product,medication
36217144,clonidine Topical Product,medication
36218075,chondroitin sulfates / hyaluronate Injectable Product,medication
36219038,tacrolimus Topical Product,medication
36220773,leucovorin Pill,medication
36245632,lanthanum carbonate Chewable Product,medication
1145948,ascorbic acid / cholecalciferol / niacin / riboflavin / thiamine / vitamin A / vitamin B12 / vitamin B6 / vitamin E Oral Product,medication
36224531,doxylamine Oral Product,medication
36227535,folic acid / pyridoxine / vitamin B12 Pill,medication
36225034,norethindrone Pill,medication
36225519,azelastine Nasal Product,medication
36220776,levalbuterol Inhalant Product,medication
36215350,acetaminophen / codeine Oral Liquid Product,medication
36217250,dicyclomine Oral Liquid Product,medication
36223619,vemurafenib Pill,medication
1355708,larotrectinib Pill,medication
36226702,iron carbonyl Oral Liquid Product,medication
1594528,polyethylene glycol 3350 Oral Powder Product,medication
36223009,magnesium sulfate Injectable Product,medication
36212532,cromolyn Nasal Product,medication
36227611,rivastigmine Topical Product,medication
36245327,clonazepam Disintegrating Oral Product,medication
36226909,lansoprazole Pill,medication
36226405,"sennosides, USP Oral Liquid Product",medication
36221037,levonorgestrel Drug Implant Product,medication
36227314,sodium chloride Irrigation Product,medication
36248980,brexpiprazole Pill,medication
36216025,digoxin Injectable Product,medication
36223197,arformoterol Inhalant Product,medication
36223666,besifloxacin Ophthalmic Product,medication
36221671,abiraterone Pill,medication
36225690,potassium Oral Product,medication
36224804,fluoxetine Oral Product,medication
36223144,metformin Oral Product,medication
36221673,acamprosate Pill,medication
36224532,doxylamine Pill,medication
36224060,Fe heme polypeptide / polysaccharide iron complex Oral Product,medication
36217717,amlodipine / olmesartan Pill,medication
36226336,oxymetazoline Inhalant Product,medication
36213365,salsalate Oral Product,medication
36227395,ofloxacin Otic Product,medication
36223616,vasopressin (USP) Injectable Product,medication
36223203,armodafinil Oral Product,medication
36223353,sertraline Oral Product,medication
36221093,lidocaine Mucosal Product,medication
36222631,ergocalciferol Oral Liquid Product,medication
36223007,magnesium sulfate / potassium sulfate / sodium sulfate Oral Liquid Product,medication
36225011,nitroglycerin Mucosal Product,medication
36227101,meperidine Injectable Product,medication
36212548,diazepam Oral Product,medication
36227246,sulfadiazine Pill,medication
36219572,ciclopirox Topical Product,medication
36219581,cinacalcet Pill,medication
